rank,h3_index,city,tier,opportunity_score,lat,lon,h3_cell_acres,project_acres,dist_to_center_km,property_type,land_value_current,total_dev_cost,equity_required,buildable_sqft,noi_year1,noi_year5,stabilised_value,exit_value_yr5,exit_cap_rate,est_irr_pct,equity_multiple,value_uplift
67,8848ebac0bfffff,phoenix,Tier 1 � Top 10%,0.6522,33.4935,-111.7683,210.9,20.9,28.8,unknown,710704,73287522,25650633,364162,4402714,5103952,81531736,94517628,0.054,13.98,2.83,93806923
68,8848ebace5fffff,phoenix,Tier 1 � Top 10%,0.6521,33.5322,-111.7703,210.8,21.4,29.7,unknown,727086,75040812,26264284,372874,4508042,5226056,83482256,96778815,0.054,13.98,2.83,96051729
69,8848e9612bfffff,phoenix,Tier 1 � Top 10%,0.6521,33.2777,-112.195,211.0,16.7,22.1,unknown,571741,58559886,20495960,290981,3517958,4078277,65147368,75523655,0.054,13.98,2.83,74951914
70,8829b6c5e1fffff,phoenix,Tier 1 � Top 10%,0.652,33.7964,-112.2155,210.1,28.1,40.9,unknown,944076,98534898,34487214,489614,5919438,6862251,109619224,127078724,0.054,13.98,2.83,126134649
71,8848e96211fffff,phoenix,Tier 1 � Top 10%,0.6519,33.211,-112.3343,211.0,25.1,35.8,unknown,847577,88015158,30805305,437342,5287470,6129626,97916104,113511601,0.054,13.98,2.83,112664024
72,8848eb3583fffff,phoenix,Tier 1 � Top 10%,0.6519,33.7244,-111.731,210.5,30.0,44.2,unknown,1004580,105197400,36819090,522720,6319685,7326247,117031200,135671236,0.054,13.98,2.83,134666656
73,8829b6d08bfffff,phoenix,Tier 1 � Top 10%,0.6518,33.5474,-112.1608,210.6,11.0,13.6,unknown,877569,38572380,13500333,191664,2317218,2686290,42911440,49746120,0.054,13.98,2.83,48868551
74,8848ebb427fffff,phoenix,Tier 1 � Top 10%,0.6515,33.2711,-111.9105,211.2,18.4,24.9,unknown,2099679,64521072,22582375,320602,3876073,4493431,71779136,83211691,0.054,13.98,2.83,81112012
75,8829b6ce95fffff,phoenix,Tier 1 � Top 10%,0.6513,33.8327,-112.1789,210.0,29.8,43.8,unknown,998240,104496084,36573629,519235,6277554,7277405,116250992,134766761,0.054,13.98,2.83,133768521
76,8848eb3285fffff,phoenix,Tier 1 � Top 10%,0.6513,33.565,-111.6456,210.8,28.7,41.8,unknown,963344,100638846,35223596,500069,6045832,7008776,111959848,129792149,0.054,13.98,2.83,128828805
77,8848eb2619fffff,phoenix,Tier 1 � Top 10%,0.6511,33.7693,-111.7999,210.4,29.8,43.8,unknown,998270,104496084,36573629,519235,6277554,7277405,116250992,134766761,0.054,13.98,2.83,133768491
78,8848e961bbfffff,phoenix,Tier 1 � Top 10%,0.6511,33.3376,-112.2667,210.9,16.4,21.7,unknown,561651,57507912,20127769,285754,3454761,4005015,63977056,74166942,0.054,13.98,2.83,73605292
79,8848ebb5c9fffff,phoenix,Tier 1 � Top 10%,0.6511,33.278,-111.9173,211.2,17.8,23.9,unknown,1962842,62417124,21845993,310147,3749680,4346906,69438512,80498267,0.054,13.98,2.83,78535425
80,8848e96135fffff,phoenix,Tier 1 � Top 10%,0.6511,33.2929,-112.198,211.0,15.8,20.8,unknown,541624,55403964,19391387,275299,3328367,3858490,61636432,71453518,0.054,13.98,2.83,70911894
81,8848ebbac3fffff,phoenix,Tier 1 � Top 10%,0.651,33.2178,-111.677,211.4,30.5,44.9,unknown,1020560,106950690,37432741,531432,6425013,7448351,118981720,137932423,0.054,13.98,2.83,136911863
82,8848eb3581fffff,phoenix,Tier 1 � Top 10%,0.6509,33.7175,-111.7242,210.5,30.0,44.1,unknown,1004640,105197400,36819090,522720,6319685,7326247,117031200,135671236,0.054,13.98,2.83,134666596
83,8848e962edfffff,phoenix,Tier 1 � Top 10%,0.6509,33.2276,-112.3267,211.0,24.0,34.0,unknown,811920,84157920,29455272,418176,5055748,5860997,93624960,108536989,0.054,13.98,2.83,107725069
84,8829b6d2d5fffff,phoenix,Tier 1 � Top 10%,0.6509,33.4808,-112.1914,210.7,9.6,11.5,unknown,775037,33663168,11782109,167270,2022299,2344399,37449984,43414796,0.054,13.98,2.83,42639759
85,8829b6d0c3fffff,phoenix,Tier 1 � Top 10%,0.6508,33.5323,-112.1578,210.6,10.0,12.1,unknown,705070,35065800,12273030,174240,2106562,2442082,39010400,45223745,0.054,13.98,2.83,44518675
86,8848eb3699fffff,phoenix,Tier 1 � Top 10%,0.6508,33.6529,-111.8538,210.5,22.0,30.6,unknown,746812,77144760,27000666,383328,4634436,5372581,85822880,99492240,0.054,13.98,2.83,98745428
87,8848ebb729fffff,phoenix,Tier 1 � Top 10%,0.6508,33.2065,-111.8708,211.3,23.4,32.9,unknown,1394968,82053972,28718890,407722,4929354,5714472,91284336,105823564,0.054,13.98,2.83,104428597
88,8848eba151fffff,phoenix,Tier 1 � Top 10%,0.6507,33.3296,-111.7148,211.2,25.2,35.9,unknown,2217424,88365816,30928036,439085,5308535,6154047,98306208,113963838,0.054,13.98,2.83,111746415
89,8848ebb631fffff,phoenix,Tier 1 � Top 10%,0.6507,33.2166,-111.9653,211.2,20.2,27.7,unknown,687689,70832916,24791521,351965,4255254,4933006,78801008,91351966,0.054,13.98,2.83,90664277
90,8848ebb68dfffff,phoenix,Tier 1 � Top 10%,0.6507,33.2342,-112.0068,211.2,18.3,24.6,unknown,624908,64170414,22459645,318859,3855008,4469011,71389032,82759454,0.054,13.98,2.83,82134546
91,8848ebb73bfffff,phoenix,Tier 1 � Top 10%,0.6505,33.2256,-111.9017,211.3,21.3,29.5,unknown,1460882,74690154,26141554,371131,4486976,5201635,83092152,96326578,0.054,13.98,2.83,94865696
92,8848e968ddfffff,phoenix,Tier 1 � Top 10%,0.6504,33.3664,-112.1743,210.9,10.6,13.0,unknown,625792,37169748,13009412,184694,2232955,2588607,41351024,47937170,0.054,13.98,2.83,47311378
93,8848e962e3fffff,phoenix,Tier 1 � Top 10%,0.6503,33.2413,-112.3403,211.0,23.9,33.8,unknown,808680,83807262,29332542,416434,5034682,5836577,93234856,108084751,0.054,13.98,2.83,107276071
94,8848eba8d5fffff,phoenix,Tier 1 � Top 10%,0.6503,33.4475,-111.6503,211.0,27.2,39.3,unknown,915253,95378976,33382642,473933,5729848,6642464,106108288,123008587,0.054,13.98,2.83,122093335
95,8848e96163fffff,phoenix,Tier 1 � Top 10%,0.6503,33.2625,-112.192,211.0,17.5,23.4,unknown,598325,61365150,21477802,304920,3686483,4273644,68268200,79141554,0.054,13.98,2.83,78543229
96,8848e96de5fffff,phoenix,Tier 1 � Top 10%,0.6502,33.4695,-112.2164,210.7,10.9,13.4,unknown,596012,38221722,13377603,189922,2296152,2661870,42521336,49293882,0.054,13.98,2.83,48697870
