rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
722,88489e356bfffff,0.5852,208.0,5.7,residential,436509,9,30.2640,-97.6842,Tier 2 — Top 25%
723,88489e325dfffff,0.5851,208.1,19.7,residential,49024,9,30.1022,-97.6689,Tier 2 — Top 25%
724,884898d8a1fffff,0.5850,208.4,20.5,NaN,0,0,30.2775,-97.9562,Tier 2 — Top 25%
725,88489e39e9fffff,0.5849,207.5,33.6,NaN,0,0,30.2660,-97.3933,Tier 2 — Top 25%
726,88489e22b7fffff,0.5849,207.8,13.8,residential,156046,9,30.3654,-97.6548,Tier 2 — Top 25%
727,88489e3265fffff,0.5848,208.0,21.8,residential,48922,9,30.1040,-97.6179,Tier 2 — Top 25%
728,88489e2403fffff,0.5847,207.9,20.0,residential,224854,9,30.4472,-97.7471,Tier 2 — Top 25%
729,8848985045fffff,0.5845,208.0,31.2,NaN,0,0,30.5196,-97.8850,Tier 2 — Top 25%
730,88489e254dfffff,0.5845,207.8,17.6,commercial,246749,16,30.4113,-97.6680,Tier 2 — Top 25%
731,88489e221bfffff,0.5843,207.9,9.0,open_space,190217,0,30.2959,-97.6556,Tier 2 — Top 25%
732,88489e3531fffff,0.5842,207.9,6.3,residential,373470,9,30.3023,-97.6918,Tier 2 — Top 25%
733,88489e2741fffff,0.5841,207.9,11.3,residential,288453,9,30.3637,-97.7059,Tier 2 — Top 25%
734,88489e2cd3fffff,0.5841,207.6,33.2,NaN,0,0,30.5513,-97.6359,Tier 2 — Top 25%
735,88489e259dfffff,0.5840,207.8,26.2,NaN,0,0,30.5020,-97.7250,Tier 2 — Top 25%
736,884898d9b3fffff,0.5840,208.3,16.7,NaN,0,0,30.3023,-97.9117,Tier 2 — Top 25%
737,88489e2433fffff,0.5840,207.8,22.6,residential,141724,9,30.4705,-97.7434,Tier 2 — Top 25%
738,884898ca19fffff,0.5838,208.3,23.4,NaN,0,0,30.3309,-97.9751,Tier 2 — Top 25%
