rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
157,88489e36ddfffff,0.8348623853211009,208.2,11.1,commercial,113574,16,30.2579,-97.8577,Tier 2 — Top 25%,True,1.0,,1.0,11.759687417841041,12,False,0.6713
158,884898d927fffff,0.8333333333333334,208.2,10.0,commercial,146336,16,30.2353,-97.8409,Tier 2 — Top 25%,True,0.6071,protected,1.0,13.378158575200514,14,False,0.6711
160,88489e2665fffff,0.8318042813455657,207.9,11.4,multifamily,313932,20,30.3701,-97.7421,Tier 2 — Top 25%,True,0.2527,water,1.0,22.848964059294442,24,False,0.6699
162,88489e2c69fffff,0.8302752293577982,207.5,29.8,,0,0,30.477,-97.5493,Tier 2 — Top 25%,True,1.0,,1.0,14.323727133400896,15,False,0.6694
163,88489eacabfffff,0.8279816513761468,208.3,12.5,residential,78977,9,30.1743,-97.8165,Tier 2 — Top 25%,True,1.0,,1.0,8.271075999999706,8,False,0.6689
164,88489e35b7fffff,0.8279816513761468,207.9,10.8,residential,296620,9,30.363,-97.7263,Tier 2 — Top 25%,True,1.0,,1.0,24.368234863535204,26,False,0.6689
165,88489e220bfffff,0.8256880733944955,207.9,10.6,residential,128038,9,30.2811,-97.6342,Tier 2 — Top 25%,True,1.0,,1.0,20.16005199999968,21,False,0.6684
168,88489e31d3fffff,0.8241590214067278,207.9,13.0,industrial,69453,12,30.2277,-97.6155,Tier 2 — Top 25%,True,1.0,,1.0,14.215563999999695,15,False,0.6675
169,88489e308bfffff,0.8218654434250765,208.0,8.7,residential,205910,9,30.226,-97.6665,Tier 2 — Top 25%,True,1.0,,1.0,14.026319999999739,15,False,0.6672
170,88489e2255fffff,0.8218654434250765,207.9,10.0,residential,146334,9,30.2733,-97.6388,Tier 2 — Top 25%,True,1.0,,1.0,19.29175599999973,20,False,0.6672
171,8848985b41fffff,0.8195718654434251,207.7,29.5,,0,0,30.5267,-97.6804,Tier 2 — Top 25%,True,1.0,,1.0,13.725755999999649,14,False,0.6671
172,88489e221dfffff,0.8180428134556575,207.9,10.2,residential,140365,9,30.2887,-97.6398,Tier 2 — Top 25%,True,1.0,,1.0,21.00608399999969,22,False,0.6667
174,8848985a59fffff,0.8165137614678899,207.8,29.5,,0,0,30.5311,-97.7781,Tier 2 — Top 25%,True,0.6375,water,1.0,13.235948,14,False,0.666
