rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
158,8848ebb1bdfffff,0.8691899070385126,211.3,39.0,unknown,52384,12,33.2409,-111.7359,Tier 2 — Top 25%,True,1.0,,1.0,4.552988000000067,4,False,0.6457
159,8848e96e29fffff,0.8665338645418327,210.8,21.5,unknown,39471,12,33.3664,-112.2833,Tier 2 — Top 25%,True,1.0,,1.0,6.201177995560984,6,False,0.6456
160,8848ebb1a5fffff,0.8665338645418327,211.3,41.3,unknown,35124,12,33.237,-111.7079,Tier 2 — Top 25%,True,1.0,,1.0,4.118839999999892,4,False,0.6456
162,8848eba349fffff,0.8645418326693227,211.3,39.4,unknown,47873,12,33.2507,-111.7214,Tier 2 — Top 25%,True,1.0,,1.0,5.643923999999897,6,False,0.6453
166,8848eba4b7fffff,0.8632138114209827,210.8,10.5,unknown,237552,12,33.4957,-111.976,Tier 2 — Top 25%,True,1.0,,1.0,30.263486473421363,32,False,0.645
167,8829b6cc5dfffff,0.8592297476759628,210.1,40.5,unknown,33609,12,33.8115,-112.109,Tier 2 — Top 25%,True,1.0,,1.0,4.285819999999899,4,False,0.6449
168,8848e96b57fffff,0.8592297476759628,211.1,18.1,unknown,34372,12,33.2859,-112.0822,Tier 2 — Top 25%,True,1.0,,1.0,9.562387999999466,10,False,0.6449
169,8829b6cf61fffff,0.8592297476759628,210.2,36.1,unknown,33758,12,33.7698,-112.0188,Tier 2 — Top 25%,True,1.0,,1.0,8.927864000000548,9,False,0.6449
172,8848ebb1b9fffff,0.8592297476759628,211.3,38.3,unknown,58594,12,33.2394,-111.7465,Tier 2 — Top 25%,True,1.0,,1.0,4.386008000000061,4,False,0.6449
173,8829b6ce8bfffff,0.8592297476759628,210.1,42.1,unknown,33555,12,33.8176,-112.1759,Tier 2 — Top 25%,True,1.0,,1.0,3.6067680000002946,3,False,0.6449
175,8829b6ced1fffff,0.8552456839309429,210.1,41.4,unknown,33580,12,33.8078,-112.1904,Tier 2 — Top 25%,True,1.0,,1.0,4.697704000000125,5,False,0.6446
177,8848e979d7fffff,0.852589641434263,211.1,24.8,unknown,34143,12,33.2275,-112.1089,Tier 2 — Top 25%,True,1.0,,1.0,3.0612999999995885,3,False,0.6443
178,8848ebb1b5fffff,0.852589641434263,211.3,38.7,unknown,54401,12,33.2492,-111.7321,Tier 2 — Top 25%,True,1.0,,1.0,5.476943999999891,5,False,0.6443
179,8829b6ce53fffff,0.852589641434263,210.2,36.1,unknown,33758,12,33.7669,-112.1495,Tier 2 — Top 25%,True,1.0,,1.0,9.250692000000193,10,False,0.6443
181,8829b6ce67fffff,0.8472775564409031,210.2,35.5,unknown,33777,12,33.7676,-112.0894,Tier 2 — Top 25%,True,1.0,,1.0,9.172767999999978,9,False,0.6439
182,8848e96233fffff,0.8472775564409031,211.0,33.2,unknown,33857,12,33.2292,-112.3161,Tier 2 — Top 25%,True,1.0,,1.0,3.1566841497522025,3,False,0.6439
183,8829b6cd4dfffff,0.8472775564409031,210.2,40.6,unknown,33605,12,33.8099,-112.0102,Tier 2 — Top 25%,True,1.0,,1.0,4.463932000000274,4,False,0.6439
