rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
156,8848e96203fffff,0.6458,211.1,35.2,unknown,33789,12,33.2057,-112.3169,Tier 1 — Top 10%
157,8848e96167fffff,0.6457,211.0,22.8,unknown,34210,12,33.2640,-112.1814,Tier 1 — Top 10%
158,8848ebb1bdfffff,0.6457,211.3,39.0,unknown,52384,12,33.2409,-111.7359,Tier 1 — Top 10%
159,8848e96e29fffff,0.6456,210.8,21.5,unknown,39471,12,33.3664,-112.2833,Tier 1 — Top 10%
160,8848ebb1a5fffff,0.6456,211.3,41.3,unknown,35124,12,33.2370,-111.7079,Tier 1 — Top 10%
161,8829b6c847fffff,0.6453,210.4,34.4,unknown,33814,12,33.7295,-111.9179,Tier 1 — Top 10%
162,8848eba349fffff,0.6453,211.3,39.4,unknown,47873,12,33.2507,-111.7214,Tier 1 — Top 10%
163,8848ebacb5fffff,0.6453,210.7,29.2,unknown,33992,12,33.5679,-111.7936,Tier 1 — Top 10%
164,8848ebb1ebfffff,0.6453,211.4,41.5,unknown,33720,12,33.2105,-111.7301,Tier 1 — Top 10%
165,8848ebb0c7fffff,0.6453,211.3,36.8,unknown,52331,12,33.1987,-111.8149,Tier 1 — Top 10%
166,8848eba4b7fffff,0.6450,210.8,10.5,unknown,237552,12,33.4957,-111.9760,Tier 1 — Top 10%
167,8829b6cc5dfffff,0.6449,210.1,40.5,unknown,33609,12,33.8115,-112.1090,Tier 1 — Top 10%
168,8848e96b57fffff,0.6449,211.1,18.1,unknown,34372,12,33.2859,-112.0822,Tier 1 — Top 10%
169,8829b6cf61fffff,0.6449,210.2,36.1,unknown,33758,12,33.7698,-112.0188,Tier 1 — Top 10%
170,8848e96287fffff,0.6449,210.9,33.7,unknown,33838,12,33.2549,-112.3539,Tier 1 — Top 10%
171,8848ebaf05fffff,0.6449,211.0,34.7,unknown,33804,12,33.4485,-111.6996,Tier 1 — Top 10%
172,8848ebb1b9fffff,0.6449,211.3,38.3,unknown,58594,12,33.2394,-111.7465,Tier 1 — Top 10%
173,8829b6ce8bfffff,0.6449,210.1,42.1,unknown,33555,12,33.8176,-112.1759,Tier 1 — Top 10%
174,8848e97917fffff,0.6446,211.2,27.3,unknown,34057,12,33.2032,-112.0606,Tier 1 — Top 10%
